1	25.1111
2	24.8889
3	25.4444
4	25.3333
5	25.4444
6	25.3333
7	25.6667
8	27
9	26.7778
10	26.4444
11	27.6667
12	27.6667
13	27.3333
14	27.2222
15	28.1111
16	27.8889
17	27.8889
18	28
19	28.6667
20	28.5556
21	28.8889
22	28.7778
23	28.8889
24	29.4444
25	29.1111
26	29.7778
27	29.4444
28	29.6667
29	29.7778
30	31.3333
31	30.2222
32	29.6667
33	31.1111
34	30.5556
35	30.6667
36	31.3333
37	31.7778
38	32.6667
39	32.4444
40	32.2222
41	32.1111
42	31.8889
43	32.1111
44	33.1111
45	33.2222
46	31.8889
47	34.2222
48	32.8889
49	32.5556
50	33
51	34.3333
52	34.5556
53	33.3333
54	35.2222
55	35.3333
56	35.2222
57	34.2222
58	34.1111
59	35.5556
60	35.3333
61	35.6667
62	35.5556
63	37.2222
64	36.2222
65	36.6667
66	35.8889
67	35.2222
68	35.8889
69	36
70	35.8889
71	36
72	37.1111
73	36.7778
74	38.3333
75	37
76	38.4444
77	37.5556
78	37.5556
79	38
80	37.8889
81	38.1111
82	38.2222
83	37.8889
84	39.1111
85	37.2222
86	38.5556
87	38.8889
88	39.5556
89	38.7778
90	38.4444
91	38.3333
92	39
93	38.3333
94	37.6667
95	38.1111
96	39.4444
97	38.1111
98	38.8889
99	38.7778
100	39.6667
101	39.2222
102	40.7778
103	39.4444
104	39.3333
105	40.6667
106	39.7778
107	39.8889
108	40.6667
109	40.3333
110	40.4444
111	38.8889
112	39.8889
113	41.3333
114	40
115	41.2222
116	41.2222
117	40.1111
118	40.7778
119	41.7778
120	40
121	41.2222
122	41.3333
123	41.7778
124	42.4444
125	42.6667
126	41.6667
127	41.7778
128	41.1111
129	41.7778
130	42.3333
131	42
132	42.6667
133	42.2222
134	43.2222
135	42
136	42.3333
137	42.7778
138	43.2222
139	42.2222
140	43.1111
141	43.1111
142	43.2222
143	43.1111
144	42.7778
145	43.4444
146	43.5556
147	43.6667
148	43.7778
149	44.4444
150	43.2222
151	43.3333
152	43
153	43.5556
154	43.7778
155	44.1111
156	43.1111
157	43.6667
158	43.5556
159	43.5556
160	43.3333
161	43.4444
162	45.4444
163	44.4444
164	44
165	43.5556
166	45.2222
167	43.5556
168	44.5556
169	43.6667
170	44.5556
171	44.5556
172	45.2222
173	43.6667
174	45.2222
175	45.5556
176	44.1111
177	44.4444
178	44.8889
179	45.2222
180	45.3333
181	44.2222
182	45.2222
183	44.8889
184	44.4444
185	45.7778
186	45.7778
187	44.5556
188	46.3333
189	45.6667
190	45.1111
191	46
192	46.1111
193	45.8889
194	46.2222
195	44.7778
196	45.7778
197	47
198	45.7778
199	46.4444
200	46.4444
201	46.1111
202	45.5556
203	46.6667
204	47.1111
205	46
206	45.7778
207	46.8889
208	47.3333
209	46.1111
210	47.3333
211	46.5556
212	46.7778
213	47.1111
214	45.8889
215	46.8889
216	46.7778
217	47.2222
218	47.2222
219	47.3333
220	46.7778
221	47.2222
222	47.5556
223	47.2222
224	47.8889
225	48
226	48.2222
227	48.4444
228	47.4444
229	47.1111
230	47.7778
231	47.6667
232	47.6667
233	48.7778
234	47.4444
235	47.7778
236	47.3333
237	48.1111
238	49.1111
239	48.1111
240	47.2222
241	48.4444
242	48.7778
243	48.2222
244	49.2222
245	48.8889
246	49
247	47
248	47.4444
249	48.6667
250	48.2222
251	47.4444
252	48.2222
253	48.5556
254	48.1111
255	48.6667
256	48.5556
257	48.2222
258	48.5556
259	48.4444
260	48.8889
261	48.7778
262	49.2222
263	49.2222
264	49.8889
265	49.4444
266	48.8889
267	49.4444
268	49
269	48.6667
270	49
271	47.8889
272	49.3333
273	49.3333
274	50.1111
275	49.5556
276	49.8889
277	49.4444
278	49.8889
279	50.3333
280	50.5556
281	49.1111
282	50.4444
283	49.7778
284	49.8889
285	48.6667
286	50.5556
287	50.7778
288	50
289	50
290	50
291	50.2222
292	50.4444
293	50.2222
294	50.2222
295	49.8889
296	49.5556
297	50.7778
298	50.8889
299	51.3333
300	50.3333
301	50
302	50.5556
303	50
304	50.4444
305	51.3333
306	50.6667
307	50.6667
308	50.1111
309	50.1111
310	51
311	51.4444
312	51.7778
313	51.1111
314	51.4444
315	51.1111
316	51.6667
317	52
318	51.7778
319	51.1111
320	50.4444
321	52.1111
322	51.4444
323	51.2222
324	52
325	52.5556
326	51.5556
327	51.6667
328	52
329	51.5556
330	52.5556
331	52
332	51.6667
333	52.5556
334	51.6667
335	52.8889
336	52.6667
337	51.4444
338	52.7778
339	52.3333
340	52.8889
341	53.1111
342	51.8889
343	51.4444
344	52.6667
345	52.6667
346	52.3333
347	52
348	51.8889
349	52.4444
350	51.8889
351	52.6667
352	52.3333
353	52.8889
354	53.2222
355	52.5556
356	52.6667
357	52.5556
358	52.1111
359	52.7778
360	53.3333
361	53.3333
362	52.8889
363	53.3333
364	52.6667
365	52.7778
366	54.4444
367	53.4444
368	52.5556
369	52.2222
370	52.6667
371	52.8889
372	52.6667
373	53
374	52.6667
375	52.8889
376	54.1111
377	53.3333
378	53.1111
379	54.1111
380	53.6667
381	53.5556
382	53.7778
383	54.3333
384	53.5556
385	54.2222
386	54.4444
387	53.4444
388	54.1111
389	53.7778
390	53.3333
391	53.7778
392	54.1111
393	54.3333
394	53.5556
395	54.5556
396	54
397	54.4444
398	53.8889
399	54.2222
400	54
401	54.6667
402	55
403	54.3333
404	55.1111
405	54.8889
406	54.1111
407	54.3333
408	55.3333
409	54.5556
410	54.4444
411	54.5556
412	54.5556
413	55.1111
414	54.8889
415	55.1111
