1	29.7778
2	30
3	30
4	30.6667
5	30.2222
6	30.5556
7	30.3333
8	30.3333
9	30.7778
10	30.3333
11	31
12	31
13	30.8889
14	31.2222
15	30.7778
16	31
17	31.2222
18	31
19	30.7778
20	31.5556
21	31.2222
22	31.3333
23	32.7778
24	30.8889
25	31.8889
26	32
27	32.3333
28	31.1111
29	31.3333
30	32.3333
31	32.3333
32	32.4444
33	32.7778
34	33
35	32.6667
36	32.4444
37	32.7778
38	32
39	32.6667
40	31.7778
41	33
42	32.6667
43	33.4444
44	33.6667
45	33.4444
46	33.4444
47	32.5556
48	34.3333
49	34.7778
50	33.5556
51	33.7778
52	34.5556
53	33.4444
54	34.2222
55	35.4444
56	34.7778
57	33.4444
58	33.5556
59	35
60	34.4444
61	34.3333
62	34.4444
63	34.8889
64	34.7778
65	34.6667
66	34.8889
67	36.1111
68	34.7778
69	34.4444
70	35.3333
71	35.5556
72	35.2222
73	36.1111
74	34.6667
75	36.4444
76	35.3333
77	36
78	36
79	34.7778
80	35.3333
81	36.6667
82	35.8889
83	35.1111
84	36.4444
85	37.3333
86	35.7778
87	36.5556
88	36.3333
89	37.2222
90	36.3333
91	36.3333
92	35.5556
93	36.8889
94	36.4444
95	37
96	37
97	37.4444
98	37.5556
99	36.5556
100	36.7778
